model_id,model_make_id,model_name,model_trim,model_year,model_body_style,model_engine_position,model_engine_cc,model_engine_num_cyl,model_engine_type,mode_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display
13611,ford,Expedition,NBX 4x4,2005,SUV,Front,5408,8,V,3,304,6000,495,,90,106,9.9:1,,,,4WD,Automatic,8,5,1298,5230,2010,1950,3030,13.2,14.9,17,106,1,,Ford
13612,ford,Meteor,,1985,Sedan,Front,1488,4,in-line,,73,5500,110,3000,,,,Gasoline,,,Front,Manual,5,4,885,4160,1640,1380,2370,,,,,0,,Ford
13613,ford,Expedition,XLT 4x4,2006,SUV,Front,5408,8,V,3,304,5000,495,3750,,,11.0:1,Gasoline,,,4WD,,9,5,1715,5230,2010,1950,3030,13.8,15.7,16.8,106,1,,Ford
13614,ford,Focus,2.0 Trend,2007,Sedan,Front,1988,4,in-line,4,130,5500,178,4500,84.8,88,10.0:1,Gasoline - Premium,201,9.5,Front,Manual,5,4,1213,4490,2000,1450,2620,,7.1,,55,1,,Ford
13615,ford,Mustang,SVT Cobra Convertible,2004,Convertible,Front,4589,8,V,4,395,5500,529,,90,90,8.5:1,,,,Rear,,4,2,1716,4670,1860,1350,2620,9.8,12.4,13.8,59,1,,Ford
13616,ford,Five Hundred,,2004,Sedan,Front,2967,6,V,4,203,5750,266,4500,89,79.5,10.0:1,Gasoline,,,Front,Automatic,5,4,1652,5080,1880,1530,2870,,11.2,,72,1,,Ford
13617,ford,Falcon,,1995,Sedan,Front,3705,6,in-line,,231,4500,398,3000,,,,Gasoline,,,Rear,Manual,5,,1580,4910,1870,1460,2800,,,,,0,,Ford
13618,ford,Falcon,,1999,Sedan,Front,3984,6,in-line,,223,4900,366,3000,92.4,99.3,9.6:1,Gasoline,,,Rear,Manual,5,4,1505,4910,1880,1440,2580,,9.1,,62,0,,Ford
13619,ford,Galaxy,2,2009,Minivan,Front,1999,4,in-line,4,145,6000,185,4500,,,10.8:1,Gasoline - Premium,189,11.2,Front,Manual,5,5,1110,4830,1890,1770,2490,,8.2,,70,0,,Ford
13620,ford,Torino,Station Wagon,1972,Station Wagon,Front,4095,6,in-line,,96,3600,245,1600,93.5,99.3,8.0:1,,,,Rear,Manual,5,5,1837,5380,2010,1400,3000,,,,76,1,,Ford
13621,ford,Taunus,Turnier,1977,,Front,1294,4,in-line,,55,,91,3000,79.1,66,8.0:1,Gasoline,,,Rear,Manual,5,3,1145,4490,1710,1360,2410,,,,94,1,,Ford
13622,ford,Meteor,,1987,Sedan,Front,1597,4,in-line,,72,5000,121,3000,,,,Gasoline,,,Front,Manual,5,4,,4200,1650,1400,2410,,,,,0,,Ford
13623,ford,Escort,ZX 2,1999,,Front,1983,4,in-line,4,133,6250,178,,84.8,87.9,9.6:1,,,,Front,Automatic,4,,1124,4460,1720,1330,2510,,,,,1,,Ford
13624,ford,Sierra,,1985,,Front,1293,4,in-line,,,,,,,,,Gasoline,,,,,5,,,4400,1680,1370,2620,,,,,0,,Ford
13625,ford,Escape,XLS 4WD Automatic,2009,SUV,Front,,4,in-line,4,173,6000,232,4500,,,,Gasoline,,,4WD,Automatic,5,5,966,4440,1810,1730,2630,9.4,11.2,12.4,62,1,,Ford
13626,ford,Fairlane,,1983,,Front,4092,6,in-line,,133,3600,304,2000,,,,Gasoline,,,Rear,Automatic,,,1630,5020,1870,1400,2950,,,,,1,,Ford
13627,ford,Mustang,SVT Cobra Coupe,2004,Coupe,Front,4589,8,V,4,395,6000,529,,90,90,8.5:1,,,,Rear,,4,2,1662,4670,1860,1340,2780,9.8,12.4,13.8,59,1,,Ford
13628,ford,Focus,ZX4 SES,2006,,Front,1983,4,in-line,4,138,6000,180,4500,85,88,,,,,Front,,5,5,2856,4460,1700,1450,2620,6.9,8.1,9.1,53,1,,Ford
13629,ford,Focus,1.8 Viva,2005,,Front,1753,4,in-line,4,120,5500,160,4400,80.6,88,10.0:1,Gasoline - Premium,198,10.6,Front,Manual,5,3,1223,4300,1710,1490,2620,,7.6,,55,1,,Ford
13630,ford,12 M,,1955,,Front,1172,4,in-line,2,38,4250,,,,,,Gasoline,,,Rear,Manual,,,,4070,1590,1560,2500,,,,,1,,Ford
13631,ford,Fiesta,1.6 Ambiente Automatic,2006,Hatchback,Front,1594,4,in-line,4,101,,146,,79,81.4,11.0:1,,184,10.6,Front,Automatic,5,3,1108,3920,1690,1440,2490,,6.6,,45,0,,Ford
13632,ford,GT 40,MK IV,1971,Coupe,Middle,4195,8,V,,355,7200,85,,95.6,72.9,,,,,Rear,Manual,2,2,960,4350,1800,980,2420,,,,125,1,,Ford
13633,ford,RS 200,,1987,Coupe,Middle,1804,4,in-line,4,250,6500,292,4500,86.2,77.7,,Gasoline,,,Rear,Manual,2,2,1232,4000,1770,1330,2540,,,,116,1,,Ford
13634,ford,Consul,Classic,1963,,Front,1340,4,in-line,2,54,4900,100,2500,81.1,65.1,8.5:1,Gasoline,,,Rear,Manual,5,2,882,4350,1670,1390,2590,,,,40,1,,Ford
13635,ford,Five Hundred,Limited,2006,Sedan,Front,2983,6,V,4,206,5750,281,4500,,,,,,,Front,Automatic,5,4,1715,5100,1900,1570,2870,8.3,10,11.4,72,1,,Ford
13636,ford,Mondeo,2.0 TDCi Ambiente,2009,Sedan,Front,1998,4,in-line,4,115,4000,280,1900,86,86,18.0:1,Diesel,197,11.1,Front,Manual,5,4,1484,4740,1820,1420,2760,,5.7,,59,0,,Ford
13637,ford,Anglia,,1965,,Front,997,4,in-line,2,38,5000,70,2700,,,8.7:1,Gasoline,,,Rear,Manual,5,4,737,3910,1470,1450,2310,,,,45,1,,Ford
13638,ford,Ka,1.3,2007,Hatchback,Front,1297,4,in-line,2,69,5500,106,3000,74,75.5,10.2:1,Gasoline,151,13.7,Front,Manual,4,3,887,3630,1650,1830,2450,,6.7,,40,0,,Ford
13639,ford,Taunus,Station Wagon,1981,Station Wagon,Front,1294,4,in-line,,,,,,,,,Gasoline,,,Rear,Manual,4,5,930,4450,1720,1330,2580,,,,,1,,Ford
13640,ford,Edge,,2009,Crossover,Front,3496,6,V,4,265,6250,251,4500,,,,Gasoline,,,Front,Automatic,5,5,966,4490,,1730,3000,9.8,6.7,13.8,55,1,,Ford
13641,ford,Galaxy,2,2008,Minivan,Front,1997,4,in-line,4,145,6000,185,4500,87.5,83.1,10.8:1,Gasoline - Premium,194,11.2,Front,Manual,5,5,1110,4830,1890,1770,2490,,8.2,,70,0,,Ford
13642,ford,Orion,,1989,Sedan,Front,1297,4,in-line,2,,,,,,,,Gasoline,,,Front,Manual,5,4,900,4230,1650,1350,2410,,,,,1,,Ford
13643,ford,Cortina,,1974,,Front,1298,4,in-line,,57,5500,91,3000,81,63,9.0:1,Gasoline,,,Rear,Manual,,2,945,4270,1710,1330,2590,,,,55,1,,Ford
13644,ford,Focus,1.6 D Station Wagon,2005,Station Wagon,Front,1558,4,in-line,4,109,4000,245,1750,75,88.3,,Diesel,,,Front,Manual,5,5,1435,4480,1850,1510,2620,,,,45,1,,Ford
13645,ford,Fiesta,,1984,,Front,957,4,in-line,2,,,,,,,,Gasoline,,,Front,Manual,,,,3650,1590,1340,2300,,,,,0,,Ford
13646,ford,Mondeo,ST 200,1999,Sedan,Front,2495,6,V,4,130,6500,181,5500,81.6,79.5,,,231,7.7,Front,Manual,5,4,1275,4560,1760,1380,2710,7.1,15.8,9.8,61,0,,Ford
13647,ford,Windstar,,1998,Minivan,Front,3000,6,V,,152,5000,,,,,,Gasoline,,,Front,,,,1690,5120,1920,,,,,,,1,,Ford
13648,ford,Excursion,,2001,SUV,Front,5405,8,V,2,256,4500,474,2500,,,,Gasoline,,,4WD,Automatic,9,4,3261,5760,2040,2040,3490,,11.8,,167,1,,Ford
